Name,Type_of_Utility,Number_of_Ratings,Rating,Longitude,Latitude,nearest_station,اسم المحطة,geometry,neighborhood,English_name,Final Station,Path,Duration(m)
مطعم بديع الجزيره اللبناني,restaurant,52.0,3.4,46.638467,24.5976085,Aishah bint Abi Bakr st.,شارع عائشة بنت أبي بكر,POINT (46.638467 24.5976085),حي البديعة,,شارع عائشة بنت أبي بكر,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، ثم في محطة قصر الحكم انتقل إلى المسار البرتقالي، وأخرج عند محطة شارع عائشة بنت أبي بكر.,75
,restaurant,13.0,3.2,46.7168528,24.6469026,National Museum,المتحف الوطني,POINT (46.7168528 24.6469026),حي العمل,Special Inihaw Eastern,المتحف الوطني,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة المتحف الوطني.,51
,restaurant,84.0,4.1,46.775533,24.7781793,Al Hamra,الحمراء,POINT (46.775533 24.7781793),حي الحمراء,Koshary Cairo,الحمراء,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة سابك بدّل إلى المسار البنفسجي، وأخرج عند محطة الحمراء.,30
,restaurant,173.0,4.2,46.6991958,24.6767635,Ministry of Interior,وزارة الداخلية,POINT (46.6991958 24.6767635),حي الوزارات,Aliwan Restaurant,وزارة الداخلية,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة وزارة الداخلية.,46
هرفي,restaurant,32.0,3.8,46.6548831,24.6086521,Dhahrat Al Badiah,ظهرة البديعة,POINT (46.6548831 24.6086521),حي البديعة,,ظهرة البديعة,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، ثم في محطة قصر الحكم انتقل إلى المسار البرتقالي، وأخرج عند محطة ظهرة البديعة.,73
,meal_delivery,495.0,4.3,46.7307162,24.7805577,Granadia,غرناطية,POINT (46.7307162 24.7805577),حي الشهداء,Texas Chicken Granada Mall,غرناطية,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة سابك بدّل إلى المسار البنفسجي، وأخرج عند محطة غرناطية.,20
مطبخ زاوية الخيمة,restaurant,28.0,3.8,46.7957175,24.7805923,Al Khaleej,الخليج,POINT (46.7957175 24.7805923),حي اشبيلية,,الخليج,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة سابك بدّل إلى المسار البنفسجي، ثم في محطة الحمراء انتقل إلى المسار الأحمر، وأخرج عند محطة الخليج.,36
بوفية زهرة الرياض,restaurant,53.0,4.0,46.7757943,24.5628133,Ad Dar Al Baida,الدار البيضاء,POINT (46.7757943 24.5628133),حي الدار البيضاء,,الدار البيضاء,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة الدار البيضاء.,78
,restaurant,697.0,4.5,46.6390302,24.7631218,KAFD,المركز المالي,POINT (46.6390302 24.7631218),حي الغدير,SUSHISAMBA Riyadh,المركز المالي,اركب المترو من المحطة الحالية، وأخرج عند محطة المركز المالي.,22
خلود كعبي للاسماك الطازجة,restaurant,51.0,4.0,46.7093326,24.6502747,Ministry of Finance,وزارة المالية,POINT (46.7093326 24.6502747),حي الوشام,,وزارة المالية,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، ثم في محطة المتحف الوطني انتقل إلى المسار الأخضر، وأخرج عند محطة وزارة المالية.,57
&,meal_takeaway,183.0,4.6,46.7948883,24.7508127,Al Andalus,الأندلس,POINT (46.7948883 24.7508127),حي المنار,Crunch More,الأندلس,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة سابك بدّل إلى المسار البنفسجي، وأخرج عند محطة الأندلس.,32
,restaurant,9.0,4.6,46.7643222,24.5811558,Al Aziziah,العزيزية,POINT (46.7643222 24.5811558),حي العزيزية,Unique Burger,العزيزية,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة العزيزية.,71
,restaurant,174.0,4.3,46.6821702,24.7002337,Alinma Bank,مصرف الإنماء,POINT (46.6821702 24.7002337),حي العليا,Flavours All Day Dining,مصرف الإنماء,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة مصرف الإنماء.,39
مطعم ماي فود للحفلات,restaurant,4.0,5.0,46.7041503,24.7109378,Ad Dhabab,الضباب,POINT (46.7041503 24.7109378),حي الملك عبدالعزيز,,الضباب,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، ثم في محطة stc انتقل إلى المسار الأحمر، بعدها في محطة وزارة التعليم انتقل إلى المسار الأخضر،  وأخرج عند محطة الضباب.,51
مطعم ناز البخاري,restaurant,420.0,3.6,46.6992833,24.7960418,Uthman Bin Affan Rd.,طريق عثمان بن عفان,POINT (46.6992833 24.7960418),حي الفلاح,,طريق عثمان بن عفان,اركب المترو من المحطة الحالية، وأخرج عند محطة عثمان بن عفان.,13
,restaurant,20.0,4.1,46.7889783,24.6835844,Harun Ar Rashid Road,طريق هارون الرشيد,POINT (46.7889783 24.6835844),حي الروابي,ATAYEB ELFORN RESTAURANTS,طريق هارون الرشيد,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة سابك بدّل إلى المسار البنفسجي، ثم في محطة النسيم انتقل إلى المسار البرتقالي ،وأخرج عند محطة طريق هارون الرشيد.,48
دلال لتقديم الوجبات,restaurant,5.0,5.0,46.7514722,24.7693611,Khalid Bin Alwaleed Road,طريق خالد بن الوليد,POINT (46.7514722 24.7693611),حي القدس,,طريق خالد بن الوليد,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة سابك بدّل إلى المسار البنفسجي، ثم في محطة الحمراء انتقل إلى المسار الأحمر، وأخرج عند محطة طريق خالد بن الوليد.,34
,restaurant,39.0,4.2,46.646271,24.5990308,Aishah bint Abi Bakr st.,شارع عائشة بنت أبي بكر,POINT (46.646271 24.5990308),حي البديعة,Red Pepper Indian restaurant,شارع عائشة بنت أبي بكر,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، ثم في محطة قصر الحكم انتقل إلى المسار البرتقالي، وأخرج عند محطة شارع عائشة بنت أبي بكر.,75
ذا ماندارين لاونج,restaurant,186.0,4.4,46.6840483,24.690401,King Fahd Library,مكتبة الملك فهد,POINT (46.6840483 24.690401),حي العليا,The Mandarin Lounge,مكتبة الملك فهد,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة مكتبة الملك فهد.,42
,restaurant,215.0,4.1,46.796564,24.7611837,Al Andalus,الأندلس,POINT (46.796564 24.7611837),حي النهضة,Al Fajr Restaurant,الأندلس,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة سابك بدّل إلى المسار البنفسجي، وأخرج عند محطة الأندلس.,32
مطعم فطائر التنور,restaurant,383.0,4.1,46.6572554,24.7944337,Ar Rabi,الربيع,POINT (46.6572554 24.7944337),حي الربيع,,الربيع,اركب المترو من المحطة الحالية، وأخرج عند محطة الربيع.,16
فطور بوفا,restaurant,263.0,4.5,46.7974235,24.6839571,Harun Ar Rashid Road,طريق هارون الرشيد,POINT (46.7974235 24.6839571),حي الروابي,,طريق هارون الرشيد,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة سابك بدّل إلى المسار البنفسجي، ثم في محطة النسيم انتقل إلى المسار البرتقالي ،وأخرج عند محطة طريق هارون الرشيد.,48
,restaurant,1945.0,3.9,46.7279447,24.6793653,Al Wizarat,الوزارات,POINT (46.7279447 24.6793653),حي الضباط,Yilmaz Restaurant,الوزارات,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، ثم في محطة المتحف الوطني انتقل إلى المسار الأخضر، وأخرج عند محطة الوزارات,62
,restaurant,3497.0,4.0,46.6815951,24.6868689,King Fahd Library,مكتبة الملك فهد,POINT (46.6815951 24.6868689),حي العليا,Almayass,مكتبة الملك فهد,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة مكتبة الملك فهد.,42
سوق الأسماك محار,restaurant,2.0,5.0,46.7107299,24.654317,Ministry of Finance,وزارة المالية,POINT (46.7107299 24.654317),حي المربع,,وزارة المالية,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، ثم في محطة المتحف الوطني انتقل إلى المسار الأخضر، وأخرج عند محطة وزارة المالية.,57
,restaurant,59.0,4.0,46.7105321,24.7479564,An Nuzhah,النزهة,POINT (46.7105321 24.7479564),حي صلاح الدين,Vittori Resturant,النزهة,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة سابك بدّل إلى المسار البنفسجي، ثم في محطة الحمراء انتقل إلى المسار الأحمر، وأخرج عند محطة النزهة.,41
مطعم القحطاني البخاري,restaurant,145.0,3.9,46.7166073,24.6220438,Al Owd,العود,POINT (46.7166073 24.6220438),حي جبرة,,العود,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة العود.,57
مطعم سوري فول و فلافل الصناعيه,restaurant,4.0,3.0,46.7388834,24.6388822,First Industrial City,المدينة الصناعية الأولى,POINT (46.7388834 24.6388822),حي الصناعية,,المدينة الصناعية الأولى,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة سابك بدّل إلى المسار البنفسجي، ثم في محطة النسيم انتقل إلى المسار البرتقالي ،وأخرج عند محطة المدينة الصناعية الأولى.,60
,restaurant,7.0,4.1,46.714524,24.6273831,Qasr Al Hokm,قصر الحكم,POINT (46.714524 24.6273831),حي القرى,Sadeeq Bofiya,قصر الحكم,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة قصر الحكم.,54
بوفيه طعم الجرة,restaurant,2.0,5.0,46.7107072,24.6741194,Al Wizarat,الوزارات,POINT (46.7107072 24.6741194),حي الوزارات,,الوزارات,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، ثم في محطة المتحف الوطني انتقل إلى المسار الأخضر، وأخرج عند محطة الوزارات,62
,restaurant,2301.0,4.2,46.6459141,24.5982236,Aishah bint Abi Bakr st.,شارع عائشة بنت أبي بكر,POINT (46.6459141 24.5982236),حي البديعة,Feresca,شارع عائشة بنت أبي بكر,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، ثم في محطة قصر الحكم انتقل إلى المسار البرتقالي، وأخرج عند محطة شارع عائشة بنت أبي بكر.,75
پاکستانی مطعم,restaurant,7.0,4.7,46.7291183,24.6398675,As Salhiyah,الصالحية,POINT (46.7291183 24.6398675),حي ثليم,,الصالحية,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة سابك بدّل إلى المسار البنفسجي، ثم في محطة النسيم انتقل إلى المسار البرتقالي ،وأخرج عند محطة الصالحية.,62
,restaurant,4.0,5.0,46.686229,24.6876307,King Fahd Library,مكتبة الملك فهد,POINT (46.686229 24.6876307),حي العليا,Afeef,مكتبة الملك فهد,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة مكتبة الملك فهد.,42
