Name,Type_of_Utility,Number_of_Ratings,Rating,Longitude,Latitude,nearest_station,اسم المحطة,geometry,neighborhood,English_name,Final Station,Path,Duration(m)
مطعم لاهور,restaurant,37.0,4.4,46.7246463,24.6091805,Manfouhah,منفوحة,POINT (46.7246463 24.6091805),حي منفوحة الجديدة,Lahore Hotel,منفوحة,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة منفوحة.,59
,meal_takeaway,5846.0,4.4,46.6602745,24.7850552,Ar Rabi,الربيع,POINT (46.6602745 24.7850552),حي الربيع,Baytoti,الربيع,اركب المترو من المحطة الحالية، وأخرج عند محطة الربيع.,16
7 فلافل,restaurant,139.0,4.1,46.697128,24.7310396,King Salman Park,حديقة الملك سلمان,POINT (46.697128 24.7310396),حي المرسلات,,حديقة الملك سلمان,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، ثم في محطة stc انتقل إلى المسار الأحمر، بعدها في محطة وزارة التعليم انتقل إلى المسار الأخضر،  وأخرج عند محطة حديقة الملك سلمان.,47
الحلة مطاعم شعبية,restaurant,193.0,3.9,46.7196278,24.6302059,Al Hilla,الحلة,POINT (46.7196278 24.6302059),حي القرى,,الحلة,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، ثم في محطة قصر الحكم انتقل إلى المسار البرتقالي، وأخرج عند محطة الحلة.,68
,restaurant,3066.0,3.7,46.686213,24.687315,King Fahd Library,مكتبة الملك فهد,POINT (46.686213 24.687315),حي العليا,Shezan Indian Restaurant,مكتبة الملك فهد,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة مكتبة الملك فهد.,42
تسالي راكان,restaurant,35.0,4.4,46.6388686,24.6009471,Aishah bint Abi Bakr st.,شارع عائشة بنت أبي بكر,POINT (46.6388686 24.6009471),حي البديعة,,شارع عائشة بنت أبي بكر,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، ثم في محطة قصر الحكم انتقل إلى المسار البرتقالي، وأخرج عند محطة شارع عائشة بنت أبي بكر.,75
شاورما غزيل,restaurant,433.0,4.3,46.8137333,24.7264466,As Salam,السلام,POINT (46.8137333 24.7264466),حي النسيم الغربي,,السلام,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة سابك بدّل إلى المسار البنفسجي، وأخرج عند محطة السلام.,39
,restaurant,1460.0,3.6,46.6312737,24.8134094,Dr. Sulaiman Al Habib,د.سليمان الحبيب,POINT (46.6312737 24.8134094),حي الصحافة,Tasty Tais,د.سليمان الحبيب,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة د.سليمان الحبيب.,28
12,restaurant,850.0,3.8,46.6806198,24.686528,King Fahd Library,مكتبة الملك فهد,POINT (46.6806198 24.686528),حي العليا,Burger,مكتبة الملك فهد,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة مكتبة الملك فهد.,42
,restaurant,85.0,4.0,46.6810389,24.6931205,Bank Al Bilad,بنك البلاد,POINT (46.6810389 24.6931205),حي العليا,Saudi Restaurants,بنك البلاد,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة بنك البلاد.,40
مطاعم محيوف,restaurant,117.0,4.5,46.6985087,24.6777187,Ministry of Interior,وزارة الداخلية,POINT (46.6985087 24.6777187),حي الوزارات,mahyoof,وزارة الداخلية,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة وزارة الداخلية.,46
مطاعم رواد الرافدين,restaurant,183.0,4.6,46.7636889,24.7626182,Khalid Bin Alwaleed Road,طريق خالد بن الوليد,POINT (46.7636889 24.7626182),حي القدس,,طريق خالد بن الوليد,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة سابك بدّل إلى المسار البنفسجي، ثم في محطة الحمراء انتقل إلى المسار الأحمر، وأخرج عند محطة طريق خالد بن الوليد.,34
مطاعم الشراع,restaurant,29.0,2.3,46.7170204,24.6352736,Al Bat’ha,البطحاء,POINT (46.7170204 24.6352736),حي القرى,,البطحاء,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة البطحاء.,52
مشويات الكرز,restaurant,1.0,5.0,46.7672388,24.590753,Al Aziziah,العزيزية,POINT (46.7672388 24.590753),حي العزيزية,,العزيزية,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة العزيزية.,71
ملفا,restaurant,2.0,5.0,46.6580135,24.7859937,Ar Rabi,الربيع,POINT (46.6580135 24.7859937),حي الربيع,,الربيع,اركب المترو من المحطة الحالية، وأخرج عند محطة الربيع.,16
,restaurant,316.0,3.8,46.8163517,24.7877439,Ishbiliyah,اشبيليا,POINT (46.8163517 24.7877439),حي القادسية,Warda Shady Fast Food Restaurant,اشبيليا,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة سابك بدّل إلى المسار البنفسجي، ثم في محطة الحمراء انتقل إلى المسار الأحمر، وأخرج عند محطة اشبيليا.,40
,restaurant,82.0,4.3,46.7187974,24.7578764,Riyadh Exhibition Center,مركز الرياض للمعارض,POINT (46.7187974 24.7578764),حي النزهة,Huayi Chinese Restaurant,مركز الرياض للمعارض,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة سابك بدّل إلى المسار البنفسجي، ثم في محطة الحمراء انتقل إلى المسار الأحمر، وأخرج عند محطة مركز الرياض للمعارض.,39
مطعم نجوم المائدة البخاري,restaurant,74.0,3.1,46.6752957,24.7135517,Al Urubah,العروبة,POINT (46.6752957 24.7135517),حي الجزيرة,,العروبة,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة العروبة.,37
,restaurant,23.0,3.7,46.721031,24.6405253,Al Bat’ha,البطحاء,POINT (46.721031 24.6405253),حي ثليم,Madurai Metro Cafe,البطحاء,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة البطحاء.,52
,restaurant,2534.0,3.9,46.7231741,24.6905735,GOSI,التأمينات الاجتماعية,POINT (46.7231741 24.6905735),حي الزهراء,Kudu Al Seteen Palace,التأمينات الاجتماعية,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، ثم في محطة stc انتقل إلى المسار الأحمر، بعدها في محطة وزارة التعليم انتقل إلى المسار الأخضر،  وأخرج عند محطة التأمينات الاجتماعية.,57
,cafe,158.0,4.5,46.72783,24.696728,Officers Club,نادي الضباط,POINT (46.72783 24.696728),حي الملك عبدالعزيز,Costa Coffee,نادي الضباط,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، ثم في محطة stc انتقل إلى المسار الأحمر، بعدها في محطة وزارة التعليم انتقل إلى المسار الأخضر،  وأخرج عند محطة نادي الضباط.,55
مشويات محمد,restaurant,655.0,4.1,46.7134994,24.638478,Al Bat’ha,البطحاء,POINT (46.7134994 24.638478),حي الفوطة,,البطحاء,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة البطحاء.,52
بوفية,restaurant,25.0,3.7,46.7031501,24.6175907,Al Jarradiyah,الجرادية,POINT (46.7031501 24.6175907),منتزه سلام,bofiya,الجرادية,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، ثم في محطة قصر الحكم انتقل إلى المسار البرتقالي، وأخرج عند محطة الجرادية.,67
مطعم بحرنا للأسماك و المأكولات البحرية,restaurant,673.0,4.7,46.7602436,24.5890239,Al Aziziah,العزيزية,POINT (46.7602436 24.5890239),حي العزيزية,,العزيزية,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة العزيزية.,71
,restaurant,4.0,5.0,46.703017,24.6214345,Al Jarradiyah,الجرادية,POINT (46.703017 24.6214345),منتزه سلام,Chabli kabab,الجرادية,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، ثم في محطة قصر الحكم انتقل إلى المسار البرتقالي، وأخرج عند محطة الجرادية.,67
اسماك امواج الاسكندراني,restaurant,30.0,4.1,46.7218189,24.6142397,Skirinah,سكيرينة,POINT (46.7218189 24.6142397),حي منفوحة الجديدة,,سكيرينة,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة سكيرينة.,58
باكا,restaurant,1.0,1.0,46.7190978,24.679369,Al Wizarat,الوزارات,POINT (46.7190978 24.679369),حي الضباط,,الوزارات,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، ثم في محطة المتحف الوطني انتقل إلى المسار الأخضر، وأخرج عند محطة الوزارات,62
مطاعم بيت الاكابر,restaurant,1317.0,4.2,46.69778,24.7097399,As Sulimaniyah,السليمانية,POINT (46.69778 24.7097399),مدينة الملك عبدالله للطاقة,,السليمانية,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، ثم في محطة stc انتقل إلى المسار الأحمر، بعدها في محطة وزارة التعليم انتقل إلى المسار الأخضر،  وأخرج عند محطة السليمانية.,49
,restaurant,4.0,2.3,46.7749924,24.6859556,Al Rajhi Grand Mosque,جامع الراجحي,POINT (46.7749924 24.6859556),حي الربوة,Fill It,جامع الراجحي,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة سابك بدّل إلى المسار البنفسجي، ثم في محطة النسيم انتقل إلى المسار البرتقالي ،وأخرج عند محطة جامع الراجحي.,51
,restaurant,302.0,4.6,46.7619639,24.5873059,Al Aziziah,العزيزية,POINT (46.7619639 24.5873059),حي العزيزية,Just Crispy,العزيزية,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة العزيزية.,71
,restaurant,768.0,4.7,46.6874967,24.7081074,Alinma Bank,مصرف الإنماء,POINT (46.6874967 24.7081074),مدينة الملك عبدالله للطاقة,Primos Pizza,مصرف الإنماء,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة مصرف الإنماء.,39
فوال غالب ثابت عبده عبدالله,restaurant,4.0,2.8,46.7188113,24.6434193,National Museum,المتحف الوطني,POINT (46.7188113 24.6434193),حي العمل,,المتحف الوطني,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة المتحف الوطني.,51
ركن النياز,meal_takeaway,1.0,5.0,46.6752957,24.7135517,Al Urubah,العروبة,POINT (46.6752957 24.7135517),حي الجزيرة,,العروبة,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة العروبة.,37
مهرجان السمك للمؤكلات البحرية,restaurant,116.0,3.8,46.800341,24.6845458,Harun Ar Rashid Road,طريق هارون الرشيد,POINT (46.800341 24.6845458),حي الروابي,,طريق هارون الرشيد,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة سابك بدّل إلى المسار البنفسجي، ثم في محطة النسيم انتقل إلى المسار البرتقالي ،وأخرج عند محطة طريق هارون الرشيد.,48
بوفية تسالي,meal_takeaway,52.0,4.1,46.7385656,24.6080583,Al Iman Hospital,مستشفى الإيمان,POINT (46.7385656 24.6080583),حي المنصورة,,مستشفى الإيمان,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة مستشفى الإيمان.,62
,restaurant,1132.0,3.7,46.759579,24.588936,Al Aziziah,العزيزية,POINT (46.759579 24.588936),حي العزيزية,Kudu Riyadh Aziziya Al Shabab street,العزيزية,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة العزيزية.,71
,bakery,1908.0,3.8,46.6868409,24.697965,Bank Al Bilad,بنك البلاد,POINT (46.6868409 24.697965),حي العليا,NINO Tahlia,بنك البلاد,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة بنك البلاد.,40
مطعم دنيا عدن,restaurant,184.0,4.0,46.8435101,24.7080662,Hassan Bin Thabit street,شارع حسان بن ثابت,POINT (46.8435101 24.7080662),حي النسيم الغربي,,شارع حسان بن ثابت,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة سابك بدّل إلى المسار البنفسجي، ثم في محطة النسيم انتقل إلى المسار البرتقالي ،وأخرج عند محطة شارع حسان بن ثابت.,51
مطعم مشاري بن محمد بن موسى الشمراني,restaurant,4.0,2.5,46.7100473,24.6741376,Al Wizarat,الوزارات,POINT (46.7100473 24.6741376),حي الوزارات,,الوزارات,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، ثم في محطة المتحف الوطني انتقل إلى المسار الأخضر، وأخرج عند محطة الوزارات,62
تكا وي,restaurant,143.0,4.1,46.8339359,24.704746,An Naseem,النسيم,POINT (46.8339359 24.704746),حي السلام,,النسيم,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة سابك بدّل إلى المسار البنفسجي، وأخرج عند محطة النسيم.,42
,restaurant,14.0,4.4,46.7320594,24.605747,Al Iman Hospital,مستشفى الإيمان,POINT (46.7320594 24.605747),حي منفوحة,Food Court Al Madina,مستشفى الإيمان,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة مستشفى الإيمان.,62
,restaurant,1.0,5.0,46.6569152,24.7612406,Al Murooj,المروج,POINT (46.6569152 24.7612406),حي النخيل,Morsel,المروج,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة المروج.,27
,meal_delivery,5846.0,4.4,46.6602745,24.7850552,Ar Rabi,الربيع,POINT (46.6602745 24.7850552),حي الربيع,Baytoti,الربيع,اركب المترو من المحطة الحالية، وأخرج عند محطة الربيع.,16
مطابخ ومطاعم ديوان نجد,restaurant,955.0,4.2,46.7539974,24.5812207,Al Aziziah,العزيزية,POINT (46.7539974 24.5812207),حي المصانع,,العزيزية,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة العزيزية.,71
مطعم مرايا,restaurant,1284.0,4.4,46.7113852,24.7012653,Abu Dhabi square,ميدان أبو ظبي,POINT (46.7113852 24.7012653),حي الملك عبدالعزيز,,ميدان أبو ظبي,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، ثم في محطة stc انتقل إلى المسار الأحمر، بعدها في محطة وزارة التعليم انتقل إلى المسار الأخضر،  وأخرج عند محطة ميدان أبو ظبي.,53
فندق تنفيذيين العليا,lodging,3829.0,4.0,46.6779717,24.7084843,Al Urubah,العروبة,POINT (46.6779717 24.7084843),مدينة الملك عبدالله للطاقة,Executives Olaya Hotel,العروبة,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة العروبة.,37
بوفية حرس الحدود,restaurant,2.0,4.0,46.7134927,24.6631172,King Abdulaziz Hospital,مستشفى الملك عبدالعزيز,POINT (46.7134927 24.6631172),حي المربع,,مستشفى الملك عبدالعزيز,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، ثم في محطة المتحف الوطني انتقل إلى المسار الأخضر، وأخرج عند محطة مستشفى الملك عبدالعزيز.,59
مطعم شعبيات الريف,restaurant,3.0,5.0,46.7243466,24.6090145,Manfouhah,منفوحة,POINT (46.7243466 24.6090145),حي منفوحة الجديدة,,منفوحة,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة منفوحة.,59
مطعم شواية العزيزية لتقديم الوجبات,restaurant,7.0,4.3,46.7540269,24.6001333,Transportation Center,مركز النقل العام,POINT (46.7540269 24.6001333),حي العزيزية,,مركز النقل العام,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة مركز النقل العام.,65
مطعم كرم الضيعة,restaurant,9.0,3.6,46.8132118,24.7912824,Ishbiliyah,اشبيليا,POINT (46.8132118 24.7912824),حي اليرموك,,اشبيليا,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة سابك بدّل إلى المسار البنفسجي، ثم في محطة الحمراء انتقل إلى المسار الأحمر، وأخرج عند محطة اشبيليا.,40
,restaurant,6.0,4.5,46.7744739,24.7936855,Al Yarmuk,اليرموك,POINT (46.7744739 24.7936855),حي اشبيلية,Ishbilliyah,اليرموك,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة سابك بدّل إلى المسار البنفسجي، وأخرج عند محطة اليرموك.,27
شاهي لمة,cafe,3869.0,4.3,46.6209626,24.8155041,Dr. Sulaiman Al Habib,د.سليمان الحبيب,POINT (46.6209626 24.8155041),حي الصحافة,,د.سليمان الحبيب,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة د.سليمان الحبيب.,28
لقيمات ومشبك &,restaurant,5.0,3.4,46.7692254,24.6790132,Al Rajhi Grand Mosque,جامع الراجحي,POINT (46.7692254 24.6790132),حي جرير,Lugimat Mshabk,جامع الراجحي,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة سابك بدّل إلى المسار البنفسجي، ثم في محطة النسيم انتقل إلى المسار البرتقالي ،وأخرج عند محطة جامع الراجحي.,51
,restaurant,8.0,3.9,46.7056704,24.9558078,Airport  T3-4,الصالة 3-4,POINT (46.7056704 24.9558078),مطار الملك خالد,Hardee's,الصالة 3-4,اركب المترو من المحطة الحالية، وأخرج عند محطة الصالة 3-4.,14
,restaurant,1.0,5.0,46.7031746,24.9591683,Airport  T3-4,الصالة 3-4,POINT (46.7031746 24.9591683),مطار الملك خالد,Natoo,الصالة 3-4,اركب المترو من المحطة الحالية، وأخرج عند محطة الصالة 3-4.,14
بروستد السياد,restaurant,72.0,4.5,46.7956875,24.7805625,Al Khaleej,الخليج,POINT (46.7956875 24.7805625),حي اشبيلية,,الخليج,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة سابك بدّل إلى المسار البنفسجي، ثم في محطة الحمراء انتقل إلى المسار الأحمر، وأخرج عند محطة الخليج.,36
,restaurant,75.0,4.6,46.7042709,24.9587528,Airport  T3-4,الصالة 3-4,POINT (46.7042709 24.9587528),مطار الملك خالد,Morso,الصالة 3-4,اركب المترو من المحطة الحالية، وأخرج عند محطة الصالة 3-4.,14
فوال دره الافراح,restaurant,277.0,4.1,46.7583304,24.5825853,Al Aziziah,العزيزية,POINT (46.7583304 24.5825853),حي العزيزية,,العزيزية,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة العزيزية.,71
,restaurant,6635.0,3.7,46.6891981,24.6991321,Bank Al Bilad,بنك البلاد,POINT (46.6891981 24.6991321),حي العليا,Dayeetna,بنك البلاد,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة بنك البلاد.,40
مطعم بخاری,restaurant,2.0,4.5,46.744009,24.6551025,Al Malaz,الملز,POINT (46.744009 24.6551025),حي الملز,,الملز,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة سابك بدّل إلى المسار البنفسجي، ثم في محطة النسيم انتقل إلى المسار البرتقالي ،وأخرج عند محطة الملز.,57
,restaurant,54.0,3.9,46.6644723,24.7370761,King Fahd District 2,حي الملك فهد 2,POINT (46.6644723 24.7370761),حي الملك فيصل,Taj Al Filfil Restaurant,حي الملك فهد 2,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة حي الملك فهد 2.,32
باستليتا - غرناطة مول,restaurant,51.0,3.4,46.7307431,24.7812087,Granadia,غرناطية,POINT (46.7307431 24.7812087),حي الشهداء,,غرناطية,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة سابك بدّل إلى المسار البنفسجي، وأخرج عند محطة غرناطية.,20
,restaurant,1451.0,4.0,46.6585789,24.7563892,Al Murooj,المروج,POINT (46.6585789 24.7563892),حي النخيل,Safrat al sultan,المروج,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة المروج.,27
,restaurant,52.0,4.3,46.7064821,24.6499418,National Museum,المتحف الوطني,POINT (46.7064821 24.6499418),حي الوشام,Fine dining restaurant,المتحف الوطني,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة المتحف الوطني.,51
مطعم الشيف كفتة,restaurant,602.0,4.0,46.7227741,24.6082263,Manfouhah,منفوحة,POINT (46.7227741 24.6082263),حي اليمامة,,منفوحة,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة منفوحة.,59
مطعم روائع العمده فول وفلافل اكلات مصريه,restaurant,464.0,4.1,46.7187712,24.6188563,Skirinah,سكيرينة,POINT (46.7187712 24.6188563),حي البطيحا,,سكيرينة,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة سكيرينة.,58
فول كبده وفلافل وسندوتشات,restaurant,64.0,3.8,46.6974876,24.711539,As Sulimaniyah,السليمانية,POINT (46.6974876 24.711539),مدينة الملك عبدالله للطاقة,,السليمانية,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، ثم في محطة stc انتقل إلى المسار الأحمر، بعدها في محطة وزارة التعليم انتقل إلى المسار الأخضر،  وأخرج عند محطة السليمانية.,49
بوفيه شابوز,restaurant,2.0,5.0,46.6865224,24.6182817,Sultanah,سلطانة,POINT (46.6865224 24.6182817),حي الجرادية,,سلطانة,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، ثم في محطة قصر الحكم انتقل إلى المسار البرتقالي، وأخرج عند محطة سلطانة.,70
,restaurant,97.0,3.0,46.8354899,24.7009593,An Naseem,النسيم,POINT (46.8354899 24.7009593),حي السعادة,Subway,النسيم,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة سابك بدّل إلى المسار البنفسجي، وأخرج عند محطة النسيم.,42
مطعم لمة مصرية للمأكولات المصرية,restaurant,526.0,4.8,46.8013747,24.7911199,Ishbiliyah,اشبيليا,POINT (46.8013747 24.7911199),حي اليرموك,,اشبيليا,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة سابك بدّل إلى المسار البنفسجي، ثم في محطة الحمراء انتقل إلى المسار الأحمر، وأخرج عند محطة اشبيليا.,40
,restaurant,151.0,3.8,46.7557008,24.7672925,Khalid Bin Alwaleed Road,طريق خالد بن الوليد,POINT (46.7557008 24.7672925),حي القدس,Khafif,طريق خالد بن الوليد,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة سابك بدّل إلى المسار البنفسجي، ثم في محطة الحمراء انتقل إلى المسار الأحمر، وأخرج عند محطة طريق خالد بن الوليد.,34
بوفية عبد الله,restaurant,54.0,3.8,46.6883221,24.6092699,Sultanah,سلطانة,POINT (46.6883221 24.6092699),حي سلطانة,,سلطانة,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، ثم في محطة قصر الحكم انتقل إلى المسار البرتقالي، وأخرج عند محطة سلطانة.,70
!ليتل سيزرز بيتزا! بيتزا,restaurant,36.0,3.8,46.6832465,24.6224647,Sultanah,سلطانة,POINT (46.6832465 24.6224647),حي الجرادية,Little Caesars Pizza Pizza,سلطانة,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، ثم في محطة قصر الحكم انتقل إلى المسار البرتقالي، وأخرج عند محطة سلطانة.,70
,restaurant,684.0,4.1,46.778721,24.5560781,Ad Dar Al Baida,الدار البيضاء,POINT (46.778721 24.5560781),حي الدار البيضاء,Pizza Turkish valley,الدار البيضاء,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة الدار البيضاء.,78
,restaurant,3444.0,4.2,46.6536285,24.7433701,King Fahd District,حي الملك فهد,POINT (46.6536285 24.7433701),حي النخيل,Plenty SLD's,حي الملك فهد,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة حي الملك فهد.,28
شواية الاسطورة,restaurant,120.0,4.1,46.7371667,24.636527,As Salhiyah,الصالحية,POINT (46.7371667 24.636527),حي الصناعية,,الصالحية,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة سابك بدّل إلى المسار البنفسجي، ثم في محطة النسيم انتقل إلى المسار البرتقالي ،وأخرج عند محطة الصالحية.,62
,restaurant,579.0,3.8,46.6651555,24.7239366,stc,stc,POINT (46.6651555 24.7239366),حي الرحمانية,Herfy,stc,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة stc.,36
,restaurant,69.0,4.7,46.7990607,24.7859397,Al Khaleej,الخليج,POINT (46.7990607 24.7859397),حي اليرموك,Rosalia Wagyu Burger B5,الخليج,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة سابك بدّل إلى المسار البنفسجي، ثم في محطة الحمراء انتقل إلى المسار الأحمر، وأخرج عند محطة الخليج.,36
رز وسمك للمأكولات البحرية,restaurant,237.0,3.6,46.6265251,24.8122155,Dr. Sulaiman Al Habib,د.سليمان الحبيب,POINT (46.6265251 24.8122155),حي الصحافة,,د.سليمان الحبيب,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة د.سليمان الحبيب.,28
,restaurant,1064.0,3.7,46.7134977,24.66866,Ministry of Defence,وزارة الدفاع,POINT (46.7134977 24.66866),حي الوزارات,Niagra Restaurant,وزارة الدفاع,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، ثم في محطة المتحف الوطني انتقل إلى المسار الأخضر، وأخرج عند محطة وزارة الدفاع.,61
بوفيه فارس محمد خلف الغامدي للوجبات السريعه معروف باسم فرن ابو جمعة,restaurant,2976.0,4.3,46.7071107,24.6365357,Al Bat’ha,البطحاء,POINT (46.7071107 24.6365357),حي ام سليم,,البطحاء,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة البطحاء.,52
البيتزا الساخنة,restaurant,181.0,4.0,46.762547,24.5841335,Al Aziziah,العزيزية,POINT (46.762547 24.5841335),حي العزيزية,,العزيزية,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة العزيزية.,71
